Screen Name,Statuses,Followers,Friends,Impact,Mentioned Key Words,Twitter Score,Impact Indicator,Profile,Description,Tags Mentioned,Users Mentioned,prediction
eji_org,1588,21506,1,83.80152213588696,False,85.51820208000001,False,https://pbs.twimg.com/profile_images/518013784565096449/b-MWntU0_normal.png,"Equal Justice Initiative, Director Bryan Stevenson, Montgomery, Alabama.",None,None,Hot
crowdfunder,1602,65565,2820,83.63839589725082,False,85.56795559,False,https://pbs.twimg.com/profile_images/733065518723137536/Gjsf2zzd_normal.jpg,Venture Capital: Crowdsourced,None,None,Hot
anildash,122265,587313,4118,82.67430344151131,False,83.51473086000001,False,https://pbs.twimg.com/profile_images/725706637248368641/YoilUS58_normal.jpg,Trying to make tech & the tech industry a bit more humane. https://t.co/KIjzD68BLv Prince fan. Doing my best.,None,None,Hot
kdeleon,4566,33101,444,82.37202328241699,False,85.63753207,False,https://pbs.twimg.com/profile_images/676886357990637569/6FK_MJG7_normal.jpg,Leader of the California Senate @CAproTem. Proudly representing the diverse people of Los Angeles & California!,None,CAproTem,Hot
SachaPfeiffer,1949,11319,494,81.63976870728767,False,81.62197396,False,https://pbs.twimg.com/profile_images/3556429288/82ae993bbca95210b9c5445041c66af9_normal.jpeg,"@BostonGlobe reporter. @GlobeSpotlight alum. Ex-host of @WBUR's All Things Considered, Boston's @NPR station. @JSKStanford fellow 2004-5. @SpotlightMovie fan.",None,"BostonGlobe, GlobeSpotlight, WBUR, NPR, JSKStanford, SpotlightMovie",Hot
FoundationATL,2129,8860,107,80.88990492681293,True,82.97356746999999,False,https://pbs.twimg.com/profile_images/651030233861234688/djphVScs_normal.jpg,American straight edge hardcore band. Foundationxatlanta@gmail.com,None,None,Hot
HelenClarkUNDP,34174,128644,2094,80.85859152756485,False,81.80171017,False,https://pbs.twimg.com/profile_images/378800000045761606/3f74eba1b5213caeda2d39ecb6855b71_normal.jpeg,"I'm Administrator @UNDP and former Prime Minister of #NewZealand, passionate about human #development world-wide.","NewZealand, development",UNDP,Hot
Piper,18659,116812,3939,80.8064074357955,False,83.64343101,False,https://pbs.twimg.com/profile_images/15119012/PiperPorkBellySandwich_normal.jpg,Author of #1 @NYTimes bestseller Orange is the New Black: My Year in a Women's Prison @sixwords: In and out of hot water,None,"NYTimes, sixwords",Hot
WildAid,5637,43404,1469,80.72188399905593,False,84.38371018000001,False,https://pbs.twimg.com/profile_images/738923844879126528/6M1KDhxM_normal.jpg,"WildAid fights for wildlife by targeting consumer demand for illicit products including ivory, rhino horn and shark fin. Join us. #JoinTheHerd",JoinTheHerd,None,Hot
arishapiro,14409,91251,852,80.50084574607557,False,85.23971681,False,https://pbs.twimg.com/profile_images/550083976677687296/Nl2JNyZe_normal.jpeg,"Host of @NPR's All Things Considered. Also, occasional guest-singer with @PinkMartiniBand.",None,"NPR, PinkMartiniBand",Hot
BruceLeeFDN,462,5053,223,80.44187609757105,False,84.60643870999999,False,https://pbs.twimg.com/profile_images/715225174019321856/NeooFdcl_normal.jpg,We are dedicated to sharing @BruceLee's message with the world by creating opportunities for people to apply his message as a personal call to action.,None,BruceLee,Hot
SamGichuru,2609,19207,511,80.32721996325188,False,80.89914428,False,https://pbs.twimg.com/profile_images/623442820137910272/dyNtO831_normal.jpg,"Co-founder https://t.co/YoRDV57R4T, where you
hire vetted experts for short term contracts.

Also Co-founded https://t.co/yvt1TKexqi, Kenya's startup incubator & accelerator",None,None,Hot
ClifBar,8327,130401,600,80.2043332188906,False,87.41060404000001,False,https://pbs.twimg.com/profile_images/748918575906172928/rmHwa5mW_normal.jpg,Get outside. Play hard. Feed your adventure.,None,None,Hot
Googleorg,1430,40741,247,80.1588289365515,False,87.85126124,False,https://pbs.twimg.com/profile_images/646789936603992065/A7CaGTjV_normal.png,Tech entrepreneurs are using innovation to tackle some of the world’s biggest challenges. We invest in teams with bold ideas that create lasting global impact.,None,None,Hot
ZaatariCamp,1160,15785,234,80.15328169012975,False,86.67714496,False,https://pbs.twimg.com/profile_images/378800000654706502/00eef9b2628c1bc204347228820dbff7_normal.png,"Vast, dusty and unpredictable, this remarkable stretch of desert is home to thousands of Syrian refugees. Tweets by UNHCR. Follow for photos, stories and news.",None,None,Hot
MichaelSkolnik,45585,161588,211,80.10622650602677,True,82.48048531,True,https://pbs.twimg.com/profile_images/738364600220045313/L-103cVr_normal.jpg,"Entrepreneur, Activist and Storyteller. Father to Mateo Ali. Proud creator of #ObamaAndKids. Board member of The Trayvon Martin Fdn. Contact: info@mskolnik.com",ObamaAndKids,None,Hot
Health_Affairs,12430,116526,460,79.9462355359248,False,86.56149983,False,https://pbs.twimg.com/profile_images/492683560419991552/nTcDgk-D_normal.jpeg,"At the intersection of health, health care, and policy. Follows/Tweets/RTs ≠ endorsements.",None,None,Hot
billionsnchange,399,27410,363,79.94492097482515,False,87.81208323,False,https://pbs.twimg.com/profile_images/646328052537016320/GJUs7sQH_normal.jpg,Change starts with one. It starts with you.,None,None,Hot
UNICEFwater,2398,34001,492,79.92130886665319,False,86.70714808000001,False,https://pbs.twimg.com/profile_images/688038441024679937/wAzMLRQs_normal.jpg,"Making sure children globally have access to safe water, sanitation and hygiene. Visit our website at http://t.co/RvIBbkasS8",None,None,Hot
TeachForAmerica,20910,141297,1455,79.90906316428847,False,85.30611507,False,https://pbs.twimg.com/profile_images/646726655105351684/3Zwp7fsp_normal.png,"One day, all children in this nation will have the opportunity to attain an excellent education.",None,None,Hot
BlakeMycoskie,1291,62663,143,79.90189461866989,False,88.23545011,False,https://pbs.twimg.com/profile_images/119549886/twitter2_normal.jpg,Chief Shoe Giver and Founder of TOMS. One for One.,None,None,Hot
AWF_Official,8701,42301,1642,79.82980988882596,True,81.93869304,True,https://pbs.twimg.com/profile_images/508792324/Fbook-graphic-JPG_normal.jpg,African Wildlife Foundation works w/the people of #Africa to ensure the #wildlife & wild lands of Africa will endure forever.,"Africa, wildlife",None,Hot
rosariodawson,16493,570887,898,79.74695009060792,False,88.09669036000001,False,https://pbs.twimg.com/profile_images/744895117966749696/hNP3BjnP_normal.jpg,,None,None,Hot
WakeOrDonate,624,10824,451,79.66898907443174,True,85.36935197000001,False,https://pbs.twimg.com/profile_images/730579727296135169/9XGQEjno_normal.jpg,WAKEorDONATE is an iPhone alarm clock app that makes users donate to charity if they press snooze. For enquires contact: wake@ordonate.com,None,None,Hot
instadonate1,371,22807,1491,79.63453442518087,False,84.76911872000001,False,https://pbs.twimg.com/profile_images/651231215320629249/GfhSRryX_normal.jpg,COMING SOON! An exciting new App to help charities raise money! Accept our follow so you'll be the first to know when it comes out !! Stay tuned!,None,None,Hot
willmacaskill,527,4186,175,79.47032394244967,False,83.79505176,False,https://pbs.twimg.com/profile_images/3623300768/2ee14b74a445f4cb031a093a4524d9d2_normal.jpeg,"Associate Professor in Philosophy, Oxford University; cofounder of 80,000 Hours & Giving What We Can; author of Doing Good Better,a guide to effective altruism.",None,None,Hot
dosomething,21496,799629,508,79.44891486462373,False,88.11593443,False,https://pbs.twimg.com/profile_images/740995287347548160/funi4ZKa_normal.jpg,5.3 million young people making the world suck less. ✨ Download our new app! https://t.co/wNCrbAY6u2,None,None,Hot
AuswaertigesAmt,12570,405577,916,79.41112335211781,False,87.95951624,False,https://pbs.twimg.com/profile_images/747798022797537282/E_swszH5_normal.jpg,Aktuelle Nachrichten aus dem Auswärtigen Amt - Auf Englisch: @GermanyDiplo - Impressum: https://t.co/hDOLfIIbLM,None,GermanyDiplo,Hot
